group,prime,target,condition,primetype,corrAns
A,starch,STAR,ortho_nsyll,related,j
A,scarce,SCAR,ortho_nsyll,related,j
A,pawn,PAW,ortho_nsyll,related,j
A,hemp,HEM,ortho_nsyll,related,j
A,overt,OVER,ortho_nsyll,related,j
A,pinch,PIN,ortho_nsyll,related,j
A,fleece,FLEE,ortho_nsyll,related,j
A,tart,TAR,ortho_nsyll,related,j
A,sight,SIGH,ortho_nsyll,related,j
A,tease,TEA,ortho_nsyll,related,j
A,gasp,GAS,ortho_nsyll,related,j
A,warmth,WAR,ortho_nsyll,related,j
A,runt,RUN,ortho_nsyll,related,j
A,peer,PEE,ortho_nsyll,related,j
A,charge,CHAR,ortho_nsyll,related,j
A,zoom,ZOO,ortho_nsyll,related,j
A,silken,TWIN,ortho_nsyll,unrelated,j
A,nuns,SEA,ortho_nsyll,unrelated,j
A,dots,RAM,ortho_nsyll,unrelated,j
A,gangs,STUN,ortho_nsyll,unrelated,j
A,monks,FAR,ortho_nsyll,unrelated,j
A,suns,BAR,ortho_nsyll,unrelated,j
A,casks,DRAW,ortho_nsyll,unrelated,j
A,soils,GROW,ortho_nsyll,unrelated,j
A,moths,WHIR,ortho_nsyll,unrelated,j
A,figs,WEE,ortho_nsyll,unrelated,j
A,stored,PROM,ortho_nsyll,unrelated,j
A,wiped,DEN,ortho_nsyll,unrelated,j
A,urges,BLUR,ortho_nsyll,unrelated,j
A,sobs,BEE,ortho_nsyll,unrelated,j
A,lays,YAW,ortho_nsyll,unrelated,j
A,eked,FUR,ortho_nsyll,unrelated,j
A,canvas,CAN,ortho_syll,related,j
A,enterprise,ENTER,ortho_syll,related,j
A,ginseng,GIN,ortho_syll,related,j
A,tandem,TAN,ortho_syll,related,j
A,counterfeit,COUNTER,ortho_syll,related,j
A,sincere,SIN,ortho_syll,related,j
A,maintain,MAIN,ortho_syll,related,j
A,dogma,DOG,ortho_syll,related,j
A,pundit,PUN,ortho_syll,related,j
A,panda,PAN,ortho_syll,related,j
A,haggis,HAG,ortho_syll,related,j
A,carcass,CAR,ortho_syll,related,j
A,plantain,PLAN,ortho_syll,related,j
A,marquis,MAR,ortho_syll,related,j
A,banjo,BAN,ortho_syll,related,j
A,bungee,BUN,ortho_syll,related,j
A,faded,BRA,ortho_syll,unrelated,j
A,sleeper,TAB,ortho_syll,unrelated,j
A,closeness,APART,ortho_syll,unrelated,j
A,columnist,PLAIN,ortho_syll,unrelated,j
A,dating,SUM,ortho_syll,unrelated,j
A,blender,LET,ortho_syll,unrelated,j
A,sicker,CASH,ortho_syll,unrelated,j
A,poster,GOB,ortho_syll,unrelated,j
A,wiper,GUM,ortho_syll,unrelated,j
A,setter,MAN,ortho_syll,unrelated,j
A,absorbent,EXTRA,ortho_syll,unrelated,j
A,roomy,PAR,ortho_syll,unrelated,j
A,leaning,BOY,ortho_syll,unrelated,j
A,wasted,TEN,ortho_syll,unrelated,j
A,highest,CAP,ortho_syll,unrelated,j
A,exited,HUM,ortho_syll,unrelated,j
A,muddy,MUD,transparent,related,j
A,wisely,WISE,transparent,related,j
A,plugging,PLUG,transparent,related,j
A,honorable,HONOR,transparent,related,j
A,weaken,WEAK,transparent,related,j
A,dearly,DEAR,transparent,related,j
A,drying,DRY,transparent,related,j
A,foolish,FOOL,transparent,related,j
A,sadness,SAD,transparent,related,j
A,madness,MAD,transparent,related,j
A,foggy,FOG,transparent,related,j
A,dreadful,DREAD,transparent,related,j
A,joyful,JOY,transparent,related,j
A,tagging,TAG,transparent,related,j
A,lawful,LAW,transparent,related,j
A,aiming,AIM,transparent,related,j
A,erupted,DIP,transparent,unrelated,j
A,avoiding,CLUE,transparent,unrelated,j
A,hunted,SPY,transparent,unrelated,j
A,lodging,PAD,transparent,unrelated,j
A,courting,BONE,transparent,unrelated,j
A,rotating,HARM,transparent,unrelated,j
A,rises,ODD,transparent,unrelated,j
A,shower,CRY,transparent,unrelated,j
A,touchy,ACID,transparent,unrelated,j
A,jumper,SKI,transparent,unrelated,j
A,amended,RANK,transparent,unrelated,j
A,weeded,EGO,transparent,unrelated,j
A,promoter,TRIM,transparent,unrelated,j
A,patted,FAT,transparent,unrelated,j
A,sweating,FLAW,transparent,unrelated,j
A,poorest,SHARP,transparent,unrelated,j
A,gutter,GUT,opaque,related,j
A,petty,PET,opaque,related,j
A,department,DEPART,opaque,related,j
A,corny,CORN,opaque,related,j
A,treaty,TREAT,opaque,related,j
A,tractable,TRACT,opaque,related,j
A,topic,TOP,opaque,related,j
A,irony,IRON,opaque,related,j
A,muggy,MUG,opaque,related,j
A,butter,BUTT,opaque,related,j
A,belly,BELL,opaque,related,j
A,ladder,LAD,opaque,related,j
A,wander,WAND,opaque,related,j
A,luster,LUST,opaque,related,j
A,pigment,PIG,opaque,related,j
A,earnest,EARN,opaque,related,j
A,ranges,ARCH,opaque,unrelated,j
A,openly,TEND,opaque,unrelated,j
A,tasted,KIT,opaque,unrelated,j
A,masses,HAM,opaque,unrelated,j
A,saying,MAT,opaque,unrelated,j
A,eluded,RUST,opaque,unrelated,j
A,softer,BRAND,opaque,unrelated,j
A,subtly,CHOP,opaque,unrelated,j
A,vividly,FIG,opaque,unrelated,j
A,races,INN,opaque,unrelated,j
A,moving,FORM,opaque,unrelated,j
A,bosses,POND,opaque,unrelated,j
A,finer,OPT,opaque,unrelated,j
A,creeping,GULL,opaque,unrelated,j
A,cheaply,FLICK,opaque,unrelated,j
A,visited,WIT,opaque,unrelated,j
A,spot,SPOT,identity,related,j
A,shirt,SHIRT,identity,related,j
A,fail,FAIL,identity,related,j
A,push,PUSH,identity,related,j
A,fuss,FUSS,identity,related,j
A,elm,ELM,identity,related,j
A,hat,HAT,identity,related,j
A,ace,ACE,identity,related,j
A,query,QUERY,identity,related,j
A,cow,COW,identity,related,j
A,ant,ANT,identity,related,j
A,joke,JOKE,identity,related,j
A,dust,DUST,identity,related,j
A,lap,LAP,identity,related,j
A,rug,RUG,identity,related,j
A,eye,EYE,identity,related,j
A,rent,SPIN,identity,unrelated,j
A,suit,LOCK,identity,unrelated,j
A,bog,HIP,identity,unrelated,j
A,plea,KNOT,identity,unrelated,j
A,mount,ANGEL,identity,unrelated,j
A,ill,JAM,identity,unrelated,j
A,tank,FUND,identity,unrelated,j
A,eel,TUB,identity,unrelated,j
A,row,TIP,identity,unrelated,j
A,oil,BAY,identity,unrelated,j
A,sit,TOY,identity,unrelated,j
A,rum,WIG,identity,unrelated,j
A,fan,EAT,identity,unrelated,j
A,guy,PUB,identity,unrelated,j
A,gap,RAT,identity,unrelated,j
A,hay,POT,identity,unrelated,j
A,bands,BANF,nw_fillers,unrelated,f
A,mixing,PANK,nw_fillers,unrelated,f
A,novels,ZASH,nw_fillers,unrelated,f
A,basics,DARB,nw_fillers,unrelated,f
A,deadly,MARD,nw_fillers,unrelated,f
A,steady,BAGE,nw_fillers,unrelated,f
A,hotels,JARK,nw_fillers,unrelated,f
A,kindly,PARN,nw_fillers,unrelated,f
A,rental,SEEF,nw_fillers,unrelated,f
A,breeds,ADASH,nw_fillers,unrelated,f
A,guards,ABAPE,nw_fillers,unrelated,f
A,amazed,ABBOY,nw_fillers,unrelated,f
A,lover,ABBIT,nw_fillers,unrelated,f
A,agrees,ABHAR,nw_fillers,unrelated,f
A,stairs,BURGE,nw_fillers,unrelated,f
A,thighs,HARON,nw_fillers,unrelated,f
A,turner,BAFED,nw_fillers,unrelated,f
A,raises,PASIL,nw_fillers,unrelated,f
A,rider,TASIN,nw_fillers,unrelated,f
A,robots,NASIS,nw_fillers,unrelated,f
A,argues,FASTE,nw_fillers,unrelated,f
A,hiring,BETCH,nw_fillers,unrelated,f
A,stamps,TATHE,nw_fillers,unrelated,f
A,exotic,KATON,nw_fillers,unrelated,f
A,diving,TAWDY,nw_fillers,unrelated,f
A,meters,DAYED,nw_fillers,unrelated,f
A,trains,KEACH,nw_fillers,unrelated,f
A,deaths,BEALY,nw_fillers,unrelated,f
A,losses,BEALM,nw_fillers,unrelated,f
A,cycles,PEAGUE,nw_fillers,unrelated,f
A,dozens,CEAKED,nw_fillers,unrelated,f
A,guests,HEANED,nw_fillers,unrelated,f
A,newest,NEAPED,nw_fillers,unrelated,f
A,partly,LEARTS,nw_fillers,unrelated,f
A,worthy,HEASED,nw_fillers,unrelated,f
A,wells,YAR,nw_fillers,unrelated,f
A,pipes,TAI,nw_fillers,unrelated,f
A,tours,TAV,nw_fillers,unrelated,f
A,gifts,TEI,nw_fillers,unrelated,f
A,sized,BERM,nw_fillers,unrelated,f
A,tuned,MEE,nw_fillers,unrelated,f
A,stays,TEZ,nw_fillers,unrelated,f
A,clips,HETS,nw_fillers,unrelated,f
A,mines,TRE,nw_fillers,unrelated,f
A,kicks,GLY,nw_fillers,unrelated,f
A,worms,PIC,nw_fillers,unrelated,f
A,lions,MIE,nw_fillers,unrelated,f
A,loans,FIKE,nw_fillers,unrelated,f
A,hoped,TIY,nw_fillers,unrelated,f
A,grows,TIX,nw_fillers,unrelated,f
A,wires,TID,nw_fillers,unrelated,f
A,typed,TOA,nw_fillers,unrelated,f
A,ruins,BLAG,nw_fillers,unrelated,f
A,blown,GON,nw_fillers,unrelated,f
A,paths,NOM,nw_fillers,unrelated,f
A,rolls,VOON,nw_fillers,unrelated,f
A,souls,SOOR,nw_fillers,unrelated,f
